"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"Rac guanyl-nucleotide exchange factor activity","GO:0030676","Rac guanyl-nucleotide exchange factor activity",0.00982476527297903,0.032104972949925,"MF",FALSE
"GTPase regulator activity","GO:0030695","GTPase regulator activity",3.04528497752522e-05,0.0349736185459926,"MF",FALSE
"regulation of actin filament length","GO:0030832","regulation of actin filament length",0.00177458620565556,0.00902005000952304,"BP",FALSE
"regulation of actin filament polymerization","GO:0030833","regulation of actin filament polymerization",0.00558508065535619,0.00311389861123502,"BP",FALSE
"prostate gland development","GO:0030850","prostate gland development",0.00705522438089751,0.000495506417214935,"BP",FALSE
"epithelial cell differentiation","GO:0030855","epithelial cell differentiation",1.48193358290073e-10,2.93878959321976e-13,"BP",FALSE
"regulation of epithelial cell differentiation","GO:0030856","regulation of epithelial cell differentiation",0.00273782824001374,0.000138225725244479,"BP",FALSE
"negative regulation of epithelial cell differentiation","GO:0030857","negative regulation of epithelial cell differentiation",0.0024999249653356,0.0186085008284639,"BP",FALSE
"cortical cytoskeleton","GO:0030863","cortical cytoskeleton",0.00225131654650726,0.000139160760044392,"CC",FALSE
"cortical actin cytoskeleton","GO:0030864","cortical actin cytoskeleton",0.00434918683541426,0.000461055598573252,"CC",FALSE
"cortical actin cytoskeleton organization","GO:0030866","cortical actin cytoskeleton organization",2.26212280899688e-05,0.0484208560356163,"BP",FALSE
"mammary gland development","GO:0030879","mammary gland development",0.00474080345386046,0.00069967543924448,"BP",FALSE
"forebrain development","GO:0030900","forebrain development",3.12198669425498e-10,9.23233840919698e-14,"BP",FALSE
"midbrain development","GO:0030901","midbrain development",0.0024493373636498,0.00192244223598911,"BP",FALSE
"hindbrain development","GO:0030902","hindbrain development",0.000161113224748571,3.70934971123557e-13,"BP",FALSE
"otic vesicle formation","GO:0030916","otic vesicle formation",0.0199341279040798,0.00303559371234748,"BP",FALSE
"regulation of vascular endothelial growth factor receptor signaling pathway","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway",0.00148134600446738,0.00854834630209659,"BP",FALSE
"extracellular matrix","GO:0031012","extracellular matrix",1.71190992863064e-11,0.0415245109066134,"CC",FALSE
"pancreas development","GO:0031016","pancreas development",0.00093619005253516,0.00104404767304738,"BP",FALSE
"endocrine pancreas development","GO:0031018","endocrine pancreas development",0.00325499295565169,0.0237518543072611,"BP",FALSE
"actomyosin structure organization","GO:0031032","actomyosin structure organization",1.79446836939676e-14,0.0247514437147745,"BP",FALSE
"embryonic camera-type eye development","GO:0031076","embryonic camera-type eye development",0.00451427932090321,3.88914943893568e-09,"BP",FALSE
"regeneration","GO:0031099","regeneration",5.00466075035581e-05,0.00344227722861698,"BP",FALSE
"developmental induction","GO:0031128","developmental induction",0.0237696616580588,0.00653086007995206,"BP",FALSE
"neuron projection development","GO:0031175","neuron projection development",4.42115784406555e-21,1.34671032212997e-20,"BP",FALSE
"cell leading edge","GO:0031252","cell leading edge",3.12406127687764e-19,0.0484618787328796,"CC",FALSE
"retinal ganglion cell axon guidance","GO:0031290","retinal ganglion cell axon guidance",0.0215608456349689,0.00172383274442654,"BP",FALSE
"regulation of cellular metabolic process","GO:0031323","regulation of cellular metabolic process",0.0133551323285931,1.28808256029288e-20,"BP",FALSE
"negative regulation of cellular metabolic process","GO:0031324","negative regulation of cellular metabolic process",8.7431959014962e-10,1.18283774476157e-20,"BP",FALSE
"positive regulation of cellular metabolic process","GO:0031325","positive regulation of cellular metabolic process",4.01950977900567e-13,1.10690774538159e-18,"BP",FALSE
"negative regulation of cellular biosynthetic process","GO:0031327","negative regulation of cellular biosynthetic process",1.13408032799487e-08,3.33142907939429e-20,"BP",FALSE
"positive regulation of cellular biosynthetic process","GO:0031328","positive regulation of cellular biosynthetic process",4.09012017898196e-12,1.31653662008689e-18,"BP",FALSE
"positive regulation of cellular catabolic process","GO:0031331","positive regulation of cellular catabolic process",0.0203776875263259,0.000386536491036823,"BP",FALSE
"regulation of cell projection organization","GO:0031344","regulation of cell projection organization",3.21392219363081e-12,2.29058469062334e-09,"BP",FALSE
"negative regulation of cell projection organization","GO:0031345","negative regulation of cell projection organization",0.00746860481073497,8.15673175179706e-08,"BP",FALSE
"positive regulation of cell projection organization","GO:0031346","positive regulation of cell projection organization",1.68683359825103e-07,0.000605511593536522,"BP",FALSE
"regulation of protein modification process","GO:0031399","regulation of protein modification process",4.75420155165765e-09,0.000246887032681056,"BP",FALSE
"negative regulation of protein modification process","GO:0031400","negative regulation of protein modification process",0.000189788467490292,0.000120619027078821,"BP",FALSE
"positive regulation of protein modification process","GO:0031401","positive regulation of protein modification process",2.99011509301699e-09,0.00807840983405988,"BP",FALSE
"keratinization","GO:0031424","keratinization",0.000954447585616512,0.0139995427250146,"BP",FALSE
"cell-substrate adhesion","GO:0031589","cell-substrate adhesion",9.55365601724664e-09,0.00010408229869332,"BP",FALSE
"regulation of myelination","GO:0031641","regulation of myelination",0.0313696390576958,0.0428263313155392,"BP",FALSE
"regulation of protein autophosphorylation","GO:0031952","regulation of protein autophosphorylation",0.0242120077501594,0.0377139695895062,"BP",FALSE
"response to corticosteroid","GO:0031960","response to corticosteroid",0.02637848785625,0.0108140716999091,"BP",FALSE
"positive regulation of fatty acid beta-oxidation","GO:0032000","positive regulation of fatty acid beta-oxidation",0.00902321032508609,0.0435041915228788,"BP",TRUE
"bleb assembly","GO:0032060","bleb assembly",0.00113326397065419,0.0494234509922114,"BP",FALSE
"regulation of actin filament bundle assembly","GO:0032231","regulation of actin filament bundle assembly",3.07168490902062e-07,0.00142553090476773,"BP",FALSE
"negative regulation of actin filament bundle assembly","GO:0032232","negative regulation of actin filament bundle assembly",0.00114041861367306,0.0332778862169197,"BP",FALSE
"positive regulation of actin filament bundle assembly","GO:0032233","positive regulation of actin filament bundle assembly",0.000218804347537529,0.00326056922066923,"BP",FALSE
"regulation of cellular protein metabolic process","GO:0032268","regulation of cellular protein metabolic process",2.1217136746183e-06,5.02833977510194e-06,"BP",FALSE
"negative regulation of cellular protein metabolic process","GO:0032269","negative regulation of cellular protein metabolic process",0.000143998598658133,5.29524944387603e-06,"BP",FALSE
"positive regulation of cellular protein metabolic process","GO:0032270","positive regulation of cellular protein metabolic process",1.41678422758923e-06,0.00278567014510575,"BP",FALSE
"regulation of protein polymerization","GO:0032271","regulation of protein polymerization",0.000112830643520295,0.00457362414331636,"BP",FALSE
"asymmetric synapse","GO:0032279","asymmetric synapse",3.90609651361529e-20,0.000771527503167995,"CC",FALSE
"regulation of chondrocyte differentiation","GO:0032330","regulation of chondrocyte differentiation",2.67595635741379e-05,8.92744045612271e-06,"BP",FALSE
"positive regulation of chondrocyte differentiation","GO:0032332","positive regulation of chondrocyte differentiation",0.00333432954869894,0.000894079263718772,"BP",FALSE
"positive regulation of hormone metabolic process","GO:0032352","positive regulation of hormone metabolic process",0.0398178288723573,0.0144296508431709,"BP",FALSE
"actin filament bundle","GO:0032432","actin filament bundle",0.000138109411442756,0.000332767969795088,"CC",FALSE
"multicellular organismal process","GO:0032501","multicellular organismal process",5.59830446350274e-56,8.88022724261021e-20,"BP",FALSE
"developmental process","GO:0032502","developmental process",3.36506382809366e-45,4.43205591244416e-28,"BP",FALSE
"regulation of cellular component size","GO:0032535","regulation of cellular component size",4.19693050718588e-06,6.46450943509461e-06,"BP",FALSE
"GTPase activating protein binding","GO:0032794","GTPase activating protein binding",0.0376013560830119,0.0252768644630752,"MF",FALSE
"glomerulus development","GO:0032835","glomerulus development",0.00910453560572713,6.54713480141963e-08,"BP",FALSE
"response to insulin","GO:0032868","response to insulin",5.42365958317581e-05,0.00215282332031857,"BP",FALSE
"cellular response to insulin stimulus","GO:0032869","cellular response to insulin stimulus",7.00931087597088e-06,0.0335104802885526,"BP",FALSE
"cellular response to hormone stimulus","GO:0032870","cellular response to hormone stimulus",3.81845550313194e-15,0.000148082103272463,"BP",FALSE
"regulation of stress-activated MAPK cascade","GO:0032872","regulation of stress-activated MAPK cascade",0.00417277337202231,0.0189234896799614,"BP",FALSE
"positive regulation of stress-activated MAPK cascade","GO:0032874","positive regulation of stress-activated MAPK cascade",0.00504376847495543,0.0333068701580076,"BP",FALSE
"regulation of localization","GO:0032879","regulation of localization",4.53118061997772e-33,0.000118967122557114,"BP",FALSE
"regulation of polysaccharide metabolic process","GO:0032881","regulation of polysaccharide metabolic process",0.0144249875006886,0.00144643865861361,"BP",FALSE
"regulation of polysaccharide biosynthetic process","GO:0032885","regulation of polysaccharide biosynthetic process",0.0144969375490928,0.00605033433959935,"BP",FALSE
"circadian regulation of gene expression","GO:0032922","circadian regulation of gene expression",7.99876787755979e-05,0.00599765140824172,"BP",FALSE
"regulation of actin cytoskeleton organization","GO:0032956","regulation of actin cytoskeleton organization",1.03040319723503e-06,8.32563400559125e-06,"BP",FALSE
"regulation of actin filament-based process","GO:0032970","regulation of actin filament-based process",3.0020127378344e-07,8.8604396458445e-06,"BP",FALSE
"cellular component morphogenesis","GO:0032989","cellular component morphogenesis",3.66964844187071e-20,3.04368322678841e-18,"BP",FALSE
"cell part morphogenesis","GO:0032990","cell part morphogenesis",1.96084162236351e-15,3.54015730113898e-21,"BP",FALSE
"muscle cell proliferation","GO:0033002","muscle cell proliferation",9.72078224176712e-08,0.00102141151278909,"BP",FALSE
"regulation of organelle organization","GO:0033043","regulation of organelle organization",0.001386906321531,0.00251127976523315,"BP",FALSE
"regulation of peptidyl-serine phosphorylation","GO:0033135","regulation of peptidyl-serine phosphorylation",0.0007168052107562,0.0164041073187714,"BP",FALSE
"positive regulation of peptidyl-serine phosphorylation","GO:0033138","positive regulation of peptidyl-serine phosphorylation",0.0233386551346353,0.00982262091793646,"BP",FALSE
"calcineurin-NFAT signaling cascade","GO:0033173","calcineurin-NFAT signaling cascade",0.000392562991344924,0.00448511505090102,"BP",FALSE
"activating transcription factor binding","GO:0033613","activating transcription factor binding",0.0138255771854045,0.000425816573897544,"MF",FALSE
"negative regulation of cell adhesion mediated by integrin","GO:0033629","negative regulation of cell adhesion mediated by integrin",0.0347395286228031,0.0243558447722977,"BP",FALSE
"negative regulation of cell-cell adhesion mediated by integrin","GO:0033633","negative regulation of cell-cell adhesion mediated by integrin",0.0140983269151159,0.0387504655193288,"BP",FALSE
"positive regulation of kinase activity","GO:0033674","positive regulation of kinase activity",2.49027054466724e-11,0.00148104878811156,"BP",FALSE
"cellular polysaccharide biosynthetic process","GO:0033692","cellular polysaccharide biosynthetic process",0.046459688407223,0.00416511238885105,"BP",FALSE
"response to lipid","GO:0033993","response to lipid",0.000384167195591368,0.00716643656599378,"BP",TRUE
"erythrocyte homeostasis","GO:0034101","erythrocyte homeostasis",0.00265828042155624,0.0340802876054951,"BP",FALSE
"carbohydrate transmembrane transport","GO:0034219","carbohydrate transmembrane transport",0.0320885743393033,0.00773072323891176,"BP",FALSE
"negative regulation of cellular amide metabolic process","GO:0034249","negative regulation of cellular amide metabolic process",0.0110444800082912,0.0126676897124731,"BP",FALSE
"cell junction assembly","GO:0034329","cell junction assembly",1.01759330541697e-17,1.02448956875317e-08,"BP",FALSE
"cell junction organization","GO:0034330","cell junction organization",1.93939625092347e-26,1.63884649205651e-11,"BP",FALSE
"adherens junction organization","GO:0034332","adherens junction organization",0.0216505213521833,0.000891384248364814,"BP",FALSE
"adherens junction maintenance","GO:0034334","adherens junction maintenance",0.0398178288723573,0.0420191503683301,"BP",FALSE
"sodium channel complex","GO:0034706","sodium channel complex",0.00870513958303946,0.0131353414130831,"CC",FALSE
"somatic stem cell population maintenance","GO:0035019","somatic stem cell population maintenance",0.0251545589925416,9.04054519751268e-07,"BP",FALSE
"negative regulation of Rho protein signal transduction","GO:0035024","negative regulation of Rho protein signal transduction",0.0291579970812715,0.0425621483489818,"BP",FALSE
"cardiocyte differentiation","GO:0035051","cardiocyte differentiation",3.40111970956253e-07,0.0165152281537126,"BP",FALSE
"establishment or maintenance of apical/basal cell polarity","GO:0035088","establishment or maintenance of apical/basal cell polarity",0.0338440038554197,0.0259564077969238,"BP",FALSE
"appendage morphogenesis","GO:0035107","appendage morphogenesis",8.02123938286441e-06,1.90460856383919e-08,"BP",FALSE
"limb morphogenesis","GO:0035108","limb morphogenesis",7.75517595949145e-06,3.38073354254815e-09,"BP",FALSE
"embryonic appendage morphogenesis","GO:0035113","embryonic appendage morphogenesis",4.57112497441302e-05,8.83081225417523e-09,"BP",FALSE
"embryonic forelimb morphogenesis","GO:0035115","embryonic forelimb morphogenesis",0.00652584597639451,0.00143927500157597,"BP",FALSE
"embryonic hindlimb morphogenesis","GO:0035116","embryonic hindlimb morphogenesis",0.00128893855020091,7.47722176143497e-06,"BP",FALSE
"forelimb morphogenesis","GO:0035136","forelimb morphogenesis",0.00725286031840515,0.00548235598265038,"BP",FALSE
"hindlimb morphogenesis","GO:0035137","hindlimb morphogenesis",0.000675915817904633,1.65871567379918e-06,"BP",FALSE
"tube formation","GO:0035148","tube formation",0.00162601022761638,3.1697959945991e-09,"BP",FALSE
"ionotropic glutamate receptor signaling pathway","GO:0035235","ionotropic glutamate receptor signaling pathway",0.000284711539828663,0.0259229609689295,"BP",FALSE
"tube morphogenesis","GO:0035239","tube morphogenesis",4.7516710322598e-14,5.09786333059463e-15,"BP",FALSE
"multicellular organism growth","GO:0035264","multicellular organism growth",0.0106982719522106,0.00285693154243368,"BP",FALSE
"organ growth","GO:0035265","organ growth",2.46924993669572e-05,4.31623137313259e-06,"BP",FALSE
"endocrine system development","GO:0035270","endocrine system development",0.000409224588677533,5.35182069765504e-05,"BP",FALSE
"tube development","GO:0035295","tube development",4.15989209269294e-13,5.01693393147398e-18,"BP",FALSE
"regulation of dephosphorylation","GO:0035303","regulation of dephosphorylation",0.039837935308298,0.0225291990489149,"BP",FALSE
"hair cell differentiation","GO:0035315","hair cell differentiation",0.00996242797586762,0.0107727376740059,"BP",FALSE
"peptidyl-tyrosine dephosphorylation","GO:0035335","peptidyl-tyrosine dephosphorylation",0.000375796011612918,0.0135026901299421,"BP",FALSE
"protein localization to synapse","GO:0035418","protein localization to synapse",1.31462537343079e-06,0.00127869329106421,"BP",FALSE
"intracellular signal transduction","GO:0035556","intracellular signal transduction",4.25694132954663e-27,3.15519429244792e-05,"BP",FALSE
"non-canonical Wnt signaling pathway","GO:0035567","non-canonical Wnt signaling pathway",0.0101812611635152,0.00346851303679098,"BP",FALSE
"protein deacylation","GO:0035601","protein deacylation",0.0257237601270938,0.00275575908392998,"BP",FALSE
"epithelial cell differentiation involved in kidney development","GO:0035850","epithelial cell differentiation involved in kidney development",0.0300448540428127,1.35561090315736e-05,"BP",FALSE
"glial cell-derived neurotrophic factor receptor signaling pathway","GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway",0.0188174402144218,0.00426097592384022,"BP",FALSE
"aorta development","GO:0035904","aorta development",0.0239293722348184,1.698943618659e-05,"BP",FALSE
"aorta morphogenesis","GO:0035909","aorta morphogenesis",0.0360689439266596,0.000245502172645045,"BP",FALSE
"skeletal muscle cell differentiation","GO:0035914","skeletal muscle cell differentiation",0.00100164254725333,0.0128198511462496,"BP",FALSE
"endodermal cell differentiation","GO:0035987","endodermal cell differentiation",0.0157924091235411,0.0293558318095273,"BP",FALSE
"protein modification process","GO:0036211","protein modification process",0.00271428632456831,0.00148546328790802,"BP",FALSE
"somatodendritic compartment","GO:0036477","somatodendritic compartment",1.78166403718565e-16,0.0228135751085221,"CC",FALSE
"netrin-activated signaling pathway","GO:0038007","netrin-activated signaling pathway",0.0244373565036137,0.00292022789287899,"BP",FALSE
"p38MAPK cascade","GO:0038066","p38MAPK cascade",0.00113843893865227,0.000683711017692089,"BP",FALSE
"growth","GO:0040007","growth",3.09524775980448e-11,1.50203861521336e-10,"BP",FALSE
"regulation of growth","GO:0040008","regulation of growth",4.95619519824092e-06,0.000309442615972665,"BP",FALSE
"locomotion","GO:0040011","locomotion",7.88213567417438e-27,1.68211969134821e-21,"BP",FALSE
"regulation of locomotion","GO:0040012","regulation of locomotion",1.68850182124477e-19,1.36688429339843e-10,"BP",FALSE
"negative regulation of locomotion","GO:0040013","negative regulation of locomotion",2.74367551493764e-08,1.94955076004181e-07,"BP",FALSE
"positive regulation of locomotion","GO:0040017","positive regulation of locomotion",1.11916013001272e-06,0.000186859935098366,"BP",FALSE
"regulation of fibroblast growth factor receptor signaling pathway","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway",0.0429681700719556,1.12800584386078e-06,"BP",FALSE
"wound healing","GO:0042060","wound healing",9.10768471424752e-10,0.000717546527267848,"BP",FALSE
"gliogenesis","GO:0042063","gliogenesis",1.01801845696498e-07,0.000202363593270178,"BP",FALSE
"endothelial cell activation","GO:0042118","endothelial cell activation",0.0210367896829004,0.0329685980255929,"BP",FALSE
"regulation of cell population proliferation","GO:0042127","regulation of cell population proliferation",7.05679109912416e-14,1.34542285606854e-10,"BP",FALSE
"response to chemical","GO:0042221","response to chemical",1.91728384646794e-25,1.81256486679464e-05,"BP",FALSE
"tissue regeneration","GO:0042246","tissue regeneration",0.000755611524273644,0.0035722999833831,"BP",FALSE
"regulation of phosphorylation","GO:0042325","regulation of phosphorylation",3.65714272457417e-08,5.22221473052663e-06,"BP",FALSE
"negative regulation of phosphorylation","GO:0042326","negative regulation of phosphorylation",0.000107183675838507,5.15336593888016e-07,"BP",FALSE
"positive regulation of phosphorylation","GO:0042327","positive regulation of phosphorylation",1.23296105057652e-09,0.00561986308713079,"BP",FALSE
"taxis","GO:0042330","taxis",6.94450499380759e-08,5.06132583665574e-09,"BP",FALSE
"sarcolemma","GO:0042383","sarcolemma",3.75613236961519e-05,0.00653794411201017,"CC",FALSE
"ear morphogenesis","GO:0042471","ear morphogenesis",1.23748802221277e-05,3.32495060754138e-07,"BP",FALSE
"inner ear morphogenesis","GO:0042472","inner ear morphogenesis",4.31340363167274e-05,3.31448277880792e-07,"BP",FALSE
"odontogenesis of dentin-containing tooth","GO:0042475","odontogenesis of dentin-containing tooth",0.000371470670294581,0.00901249874422166,"BP",FALSE
"odontogenesis","GO:0042476","odontogenesis",4.31290733175515e-06,0.0165799861193212,"BP",FALSE
"mechanoreceptor differentiation","GO:0042490","mechanoreceptor differentiation",0.000530716484506343,0.0387083451776584,"BP",FALSE
"myelination","GO:0042552","myelination",5.54213563440728e-05,0.0191283149520589,"BP",FALSE
"actomyosin","GO:0042641","actomyosin",6.77959844863773e-06,5.18285097971212e-05,"CC",FALSE
"regulation of cell fate specification","GO:0042659","regulation of cell fate specification",0.0033642188405172,0.0220884937698278,"BP",FALSE
"muscle cell differentiation","GO:0042692","muscle cell differentiation",9.63261912945311e-20,0.00300364330462361,"BP",FALSE
"histone deacetylase binding","GO:0042826","histone deacetylase binding",6.67161001416477e-05,0.00019896931769279,"MF",FALSE
"regulation of apoptotic process","GO:0042981","regulation of apoptotic process",2.48885687182886e-11,2.34561463455635e-06,"BP",FALSE
"chordate embryonic development","GO:0043009","chordate embryonic development",1.80150216451398e-08,9.46364652001185e-13,"BP",FALSE
"camera-type eye development","GO:0043010","camera-type eye development",2.54444324491767e-05,6.90207180095405e-09,"BP",FALSE
"costamere","GO:0043034","costamere",0.0015071850539393,0.000353108019480874,"CC",FALSE
"otic placode formation","GO:0043049","otic placode formation",0.0124996494360416,0.000141183632975321,"BP",FALSE
"extracellular structure organization","GO:0043062","extracellular structure organization",2.27314253685034e-07,0.0173969695376239,"BP",FALSE
"positive regulation of apoptotic process","GO:0043065","positive regulation of apoptotic process",6.24186324341485e-07,3.34188949476493e-05,"BP",FALSE
"negative regulation of apoptotic process","GO:0043066","negative regulation of apoptotic process",8.80680356665249e-08,9.28354073811401e-05,"BP",FALSE
"regulation of programmed cell death","GO:0043067","regulation of programmed cell death",4.202010779938e-11,2.11878068926955e-06,"BP",FALSE
"positive regulation of programmed cell death","GO:0043068","positive regulation of programmed cell death",1.08686628683999e-06,3.28744210899658e-05,"BP",FALSE
"negative regulation of programmed cell death","GO:0043069","negative regulation of programmed cell death",5.58578764293269e-08,7.72523661347275e-05,"BP",FALSE
"positive regulation of catalytic activity","GO:0043085","positive regulation of catalytic activity",3.13477689577824e-11,0.0142137648010835,"BP",FALSE
"negative regulation of catalytic activity","GO:0043086","negative regulation of catalytic activity",0.0134160841475256,0.00887549583911561,"BP",FALSE
"regulation of GTPase activity","GO:0043087","regulation of GTPase activity",2.14972720138669e-07,0.00077559866512147,"BP",FALSE
"receptor metabolic process","GO:0043112","receptor metabolic process",0.000479653356000667,0.0332147595298657,"BP",FALSE
"receptor clustering","GO:0043113","receptor clustering",0.0137616540906029,0.0159043664668693,"BP",FALSE
"ErbB-3 class receptor binding","GO:0043125","ErbB-3 class receptor binding",0.0262968059474727,0.0198543202885512,"MF",FALSE
"stress fiber assembly","GO:0043149","stress fiber assembly",1.23623089138577e-07,0.00116420706572487,"BP",FALSE
"dendritic spine","GO:0043197","dendritic spine",4.1549787579561e-16,0.0175771278100939,"CC",FALSE
"dendritic shaft","GO:0043198","dendritic shaft",0.0164139080023202,0.0429912100915865,"CC",FALSE
"receptor complex","GO:0043235","receptor complex",3.15268864508815e-17,0.00853485397224889,"CC",FALSE
"regulation of protein-containing complex disassembly","GO:0043244","regulation of protein-containing complex disassembly",0.0383248063940967,0.0491514521359131,"BP",FALSE
"regulation of protein-containing complex assembly","GO:0043254","regulation of protein-containing complex assembly",0.0119915791239471,0.0354709896155136,"BP",FALSE
"apical junction complex","GO:0043296","apical junction complex",0.0126350878522431,0.0205418315634795,"CC",FALSE
"steroid hormone mediated signaling pathway","GO:0043401","steroid hormone mediated signaling pathway",0.00231360202336528,2.24187901906513e-05,"BP",FALSE
"regulation of MAP kinase activity","GO:0043405","regulation of MAP kinase activity",2.1085142436144e-08,0.034314666206042,"BP",FALSE
"regulation of MAPK cascade","GO:0043408","regulation of MAPK cascade",0.000657212892582366,0.0150603899467029,"BP",FALSE
"negative regulation of MAPK cascade","GO:0043409","negative regulation of MAPK cascade",0.0274426971222808,0.01611165934735,"BP",FALSE
"response to peptide hormone","GO:0043434","response to peptide hormone",5.09022378126836e-07,0.0357372077564721,"BP",FALSE
"protein kinase B signaling","GO:0043491","protein kinase B signaling",0.000467292753525917,0.00143333736568627,"BP",FALSE
"muscle adaptation","GO:0043500","muscle adaptation",1.2817221331644e-06,0.00618158739462587,"BP",FALSE
"regulation of muscle adaptation","GO:0043502","regulation of muscle adaptation",1.80753880067683e-06,0.00415222208815266,"BP",FALSE
"regulation of JUN kinase activity","GO:0043506","regulation of JUN kinase activity",0.000720805964850338,0.0194048767574101,"BP",FALSE
"positive regulation of JUN kinase activity","GO:0043507","positive regulation of JUN kinase activity",0.00264721258423667,0.00708085200308912,"BP",FALSE
"regulation of neuron apoptotic process","GO:0043523","regulation of neuron apoptotic process",0.00930406934951152,0.0116497399308115,"BP",FALSE
"positive regulation of neuron apoptotic process","GO:0043525","positive regulation of neuron apoptotic process",0.010756354769621,0.0140155866961116,"BP",FALSE
"blood vessel endothelial cell migration","GO:0043534","blood vessel endothelial cell migration",0.00371194803152179,0.00216256879571967,"BP",FALSE
"regulation of blood vessel endothelial cell migration","GO:0043535","regulation of blood vessel endothelial cell migration",0.000367573692589477,0.00824610551711153,"BP",FALSE
"negative regulation of blood vessel endothelial cell migration","GO:0043537","negative regulation of blood vessel endothelial cell migration",0.014465797080934,0.0218209341110023,"BP",FALSE
"endothelial cell migration","GO:0043542","endothelial cell migration",8.7470151586886e-08,1.38255123111309e-06,"BP",FALSE
"positive regulation of GTPase activity","GO:0043547","positive regulation of GTPase activity",1.63704644634616e-07,0.00748826420323255,"BP",FALSE
"regulation of kinase activity","GO:0043549","regulation of kinase activity",9.01480256659308e-10,8.14803760645103e-05,"BP",FALSE
"sequence-specific DNA binding","GO:0043565","sequence-specific DNA binding",6.53953180399948e-06,9.6044427884017e-21,"MF",FALSE
"ear development","GO:0043583","ear development",3.81125843796968e-07,8.24411102522026e-10,"BP",FALSE
"nose development","GO:0043584","nose development",0.0413935692794399,0.0399963354407748,"BP",FALSE
"skin development","GO:0043588","skin development",0.00404843132162869,3.46395052986902e-06,"BP",FALSE
"negative regulation of cAMP-mediated signaling","GO:0043951","negative regulation of cAMP-mediated signaling",0.00611907661143003,0.0252639011159817,"BP",FALSE
"cellular component maintenance","GO:0043954","cellular component maintenance",0.00251209499991036,0.00381534728591685,"BP",FALSE
"regulation of cellular component biogenesis","GO:0044087","regulation of cellular component biogenesis",5.49225753527897e-11,0.000353816660941654,"BP",FALSE
"positive regulation of cellular component biogenesis","GO:0044089","positive regulation of cellular component biogenesis",2.91433443166267e-08,0.0299320523450004,"BP",FALSE
"membrane biogenesis","GO:0044091","membrane biogenesis",0.00716501137520508,0.0124305320581761,"BP",FALSE
"negative regulation of molecular function","GO:0044092","negative regulation of molecular function",0.00291819768303111,0.0044699547011727,"BP",FALSE
"positive regulation of molecular function","GO:0044093","positive regulation of molecular function",5.56674088321091e-11,0.00100696495672919,"BP",FALSE
"cellular polysaccharide metabolic process","GO:0044264","cellular polysaccharide metabolic process",0.016021695727019,0.0474320157697658,"BP",FALSE
"cell-cell contact zone","GO:0044291","cell-cell contact zone",0.00103699734279961,0.00235837803800065,"CC",FALSE
"neuron spine","GO:0044309","neuron spine",2.86404632304507e-16,0.0215792244140817,"CC",FALSE
"wound healing, spreading of cells","GO:0044319","wound healing, spreading of cells",0.00966882979265829,0.0427504290332726,"BP",FALSE
"cellular response to fibroblast growth factor stimulus","GO:0044344","cellular response to fibroblast growth factor stimulus",0.0461845539700793,7.08539348635977e-07,"BP",FALSE
"multi-multicellular organism process","GO:0044706","multi-multicellular organism process",0.00298315613904873,0.0488807786785868,"BP",FALSE
"plasma membrane raft","GO:0044853","plasma membrane raft",2.15861575454211e-05,0.0026637761413483,"CC",FALSE
"membrane raft","GO:0045121","membrane raft",1.54401924016104e-10,0.000424601601034997,"CC",FALSE
"cell fate commitment","GO:0045165","cell fate commitment",9.95145820741201e-10,8.89187925060311e-12,"BP",FALSE
"synapse","GO:0045202","synapse",5.38983675752283e-37,0.000378929324029274,"CC",FALSE
"postsynaptic membrane","GO:0045211","postsynaptic membrane",2.50235608575448e-21,0.00328299447845851,"CC",FALSE
"cell-cell junction organization","GO:0045216","cell-cell junction organization",0.000260222157888356,0.00131218837386872,"BP",FALSE
"cell-cell junction maintenance","GO:0045217","cell-cell junction maintenance",0.0191742758714869,0.02326985207707,"BP",FALSE
"cadherin binding","GO:0045296","cadherin binding",5.88366637952572e-06,0.0225545268807612,"MF",FALSE
"fat cell differentiation","GO:0045444","fat cell differentiation",2.20795847613995e-06,2.08511150057904e-06,"BP",FALSE
"myoblast differentiation","GO:0045445","myoblast differentiation",3.49419678908219e-05,0.033239063993448,"BP",FALSE
"endothelial cell differentiation","GO:0045446","endothelial cell differentiation",4.29335813978014e-06,0.00740431101522241,"BP",FALSE
"regulation of cell differentiation","GO:0045595","regulation of cell differentiation",4.07872207154664e-32,4.24372359317293e-20,"BP",FALSE
"negative regulation of cell differentiation","GO:0045596","negative regulation of cell differentiation",3.56201787694209e-13,2.64921432634117e-16,"BP",FALSE
"positive regulation of cell differentiation","GO:0045597","positive regulation of cell differentiation",1.59737284854737e-18,2.12583842637591e-11,"BP",FALSE
"regulation of fat cell differentiation","GO:0045598","regulation of fat cell differentiation",0.00115428860964191,8.0370647240269e-05,"BP",TRUE
"positive regulation of fat cell differentiation","GO:0045600","positive regulation of fat cell differentiation",0.0299316211920769,7.32284862351341e-05,"BP",TRUE
"regulation of epidermal cell differentiation","GO:0045604","regulation of epidermal cell differentiation",0.015225875805623,0.00102737935223227,"BP",FALSE
"negative regulation of epidermal cell differentiation","GO:0045605","negative regulation of epidermal cell differentiation",0.0172182846565601,0.0146962037228359,"BP",FALSE
